# SPHEREx Surface Brightness Sensitivity v28
# Source: https://raw.githubusercontent.com/SPHEREx/Public-products/master/Surface_Brightness_v28_base_cbe.txt
# Columns: wavelength (μm), all-sky noise (nW/m²/sr), deep-field noise (nW/m²/sr)
# wavelength  all_sky  deep_field
0.750000  27.43850  3.78462
0.768293  27.07707  3.73482
0.787032  26.69817  3.68261
0.806227  26.30322  3.62818
0.825891  25.89362  3.57172
0.846035  25.47079  3.51343
0.866670  25.03610  3.45350
0.887809  24.59089  3.39211
0.909462  24.13648  3.32945
0.931644  23.67415  3.26570
0.954367  23.20514  3.20101
0.977645  22.73062  3.13557
1.001490  22.25174  3.06952
1.025916  21.76959  3.00302
1.050939  21.28521  2.93621
1.076571  20.79960  2.86922
1.137073  19.25236  2.65585
1.164807  18.77982  2.59066
1.193217  18.30958  2.52579
1.222319  17.84234  2.46133
1.252132  17.37873  2.39737
1.282672  16.91934  2.33399
1.313957  16.46474  2.27127
1.346004  16.01540  2.20928
1.378834  15.57179  2.14807
1.412464  15.13433  2.08771
1.446914  14.70337  2.02825
1.482205  14.27925  1.96974
1.518356  13.86227  1.91220
1.555389  13.45267  1.85569
1.593325  13.05068  1.80022
1.632187  12.65649  1.74583
1.680000  12.69846  1.75152
1.720976  12.30680  1.69748
1.762951  11.92368  1.64462
1.805949  11.54919  1.59295
1.849997  11.18337  1.54247
1.895119  10.82625  1.49320
1.941341  10.47785  1.44512
1.988691  10.13815  1.39825
2.037196  9.80714  1.35258
2.086883  9.48476  1.30810
2.137783  9.17097  1.26480
2.189924  8.86572  1.22268
2.243337  8.56894  1.18173
2.298052  8.28055  1.14194
2.354102  8.00052  1.10330
2.411520  7.72878  1.06581
2.489143  6.79981  0.93800
2.560261  6.52620  0.90025
2.633412  6.26330  0.86397
2.708652  6.01141  0.82921
2.786042  5.77103  0.79604
2.865643  5.54294  0.76456
2.947519  5.32828  0.73494
3.031733  5.12870  0.70740
3.118354  4.94638  0.68225
3.207450  4.78421  0.65987
3.299092  4.64580  0.64078
3.393351  4.53552  0.62558
3.490304  4.45838  0.61495
3.590027  4.41973  0.60963
3.692600  4.42494  0.61037
3.798102  4.47878  0.61783
3.854727  8.97157  1.23619
3.889770  9.02747  1.24395
3.925132  9.09358  1.25313
3.960815  9.17003  1.26374
3.996822  9.25692  1.27579
4.033157  9.35430  1.28928
4.069822  9.46221  1.30423
4.106820  9.58065  1.32063
4.144155  9.70957  1.33848
4.181829  9.84891  1.35777
4.219846  9.99857  1.37848
4.258208  10.15843  1.40060
4.296919  10.32834  1.42411
4.335982  10.50813  1.44898
4.375400  10.69760  1.47518
4.415176  10.89655  1.50269
4.454000  12.69856  1.75090
4.488262  12.90135  1.77895
4.522787  13.11138  1.80800
4.557577  13.32846  1.83802
4.592636  13.55241  1.86898
4.627964  13.78304  1.90087
4.663563  14.02017  1.93365
4.699437  14.26359  1.96730
4.735586  14.51311  2.00178
4.772014  14.76851  2.03708
4.808722  15.02961  2.07317
4.845712  15.29618  2.11001
4.882987  15.56803  2.14757
4.920548  15.84495  2.18584
4.958398  16.12672  2.22477
4.996540  16.41314  2.26434
